Parameter,Result,Unit,Method
HMF,3.7,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,18.1,%,"ASU L 40.00-2/2, mod (a) 1"
pH,5.3,pH,PM DE01.042:2018-03 (a)
Diastase,"25,6",DZ,"ASU L 40.00-1, mod. (a)2"
Free acid,11.2,mmol/kg,"DIN 10756, mod. (a)³"
