Parameter,Result,Unit,Method
HMF,2.8,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,18.7,%,"ASU L 40.00-2/2, mod (a) 1"
pH,5.3,pH,PM DE01.042:2018-03 (a)
Diastase,8.8,DZ,"ASU L 40.00-1, mod. (a) 2"
Free acid,"11,6",mmol/kg,"DIN 10756, mod. (a) 3"
