Parameter,Result,Unit,Method
HMF,n.d.,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,17.0,%,"ASU L 40.00-2/2, mod (a) 1"
pH,7.4,pH,PM DE01.042:2022-04 (a)
Diastase Free,22.2,DZ,"ASU L 40.00-1, mod. (a) 2"
acid,6.9,mmol/kg,"DIN 10756, mod. (a) 3"
