Parameter,Result,Unit,Method
HMF Moisture,0.1,mg/kg,DIN 10751-3:2018-09 (a)
content,18.1,%,"ASU L 40.00-2/2, mod (a) 1"
pH Diastase,6.5,pH,PM DE01.042:2022-04 (a)
Free,20.7,DZ,"ASU L 40.00-1, mod. (a) 2"
acid,8.0,mmol/kg,"DIN 10756, mod. (a) 3"
