Parameter,Result,Unit,Method
HMF,n.d.,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,17.1,%,"ASU L 40.00-2/2, mod (a)"
pH,7.2,pH,PM DE01.042:2022-04 (a)
Diastase Free acid,"29,9",DZ,"ASU L 40.00-1, mod. (a) 2"
,7.1,mmol/kg,"DIN 10756, mod. (a) 3"
