PARAMETERS,TEST METHODS,UNITS,RESULTS,REFERENCE
Appearance (sobal),Physical Observation,-,Glossy,
Colour (Ualll),Physical Observation,-,Light Amber,
Consistency(plail),Physical Observation,-,Viscous liquid,
,Physical Observation,-,Satisfying,
Taste(pabli),Physical Observation,-,Sweet,
"Moisture Content (Lugb,ll sgirs)","IHC Method 1, Refractometry",%,16.1,< 20
pH(disgard Jolas),"IHC Method 4, Potentiometry",-,6.33,
Electrical Conductivity withil,"IHC Method 2, Conductivity",mS/cm,1.71,
Ash content Wissiro),"IHC Method 3, Gravimetry",%,0.61,
Hydroxymethylfurfural (HMF) his 5mg Sso),"IHC Method 5.1, HPLC",mg/Kg,3.66,< 80
"Fructose(jgis,ell)","IHC Method 7.2, HPLC",%,34.89,
,"IHC Method 7.2, HPLC",%,24.40,
Fructose/Glucose,"IHC Method 7.2, HPLC",-,1.42,
Fructose + Glucose (josaball,"IHC Method 7.2, HPLC",%,59.29,
,"IHC Method 7.2, HPLC",%,3.62,
Maltose (jgillall),"IHC Method 7.2, HPLC",%,<0.1,
,"IHC Method 7.2, HPLC",%,62.91,> 60
