Parameter,Result,Unit,Method
HMF,1.3,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,"18,7",%,ASU L 40.00-2/2. mod (a) 1
pH,6.4,pH,PM DE01.042:2022-04 (a)
Diastase Free acid,22.5,DZ,"ASU L 40.00-1, mod. (a) 2"
,"9,3",mmol/kg,"DIN 10756, mod. (a) 3"
