Parameter,Result,Unit,Method
HMF,"0,4",mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,"17,5",%,"ASU L 40.00-2/2, mod (a)"
pH,6.3,pH,PM DE01.042:2022-04 (a)
Diastase,"23,9",DZ,"ASU L 40.00-1, mod. (a) 2"
Free acid,"8,2",mmol/kg,"DIN 10756, mod. (a) 3"
