Parameter,Result,Unit,Method
HMF,2.2,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,18.0,%,"ASU L 40.00-2/2, mod (a) 1"
pH Diastase,6.0,pH,PM DE01.042:2022-04 (a)
Free acid,24.6,DZ,"ASU L 40.00-1, mod. (a) 2"
,9.7,mmol/kg,"DIN 10756, mod. (a) 3"
