Parameter,Result,Unit,Method
HMF,1.4,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,17.1,%,"ASU L 40.00-2/2, mod (a) 1"
pH,6.6,pH,PM DE01.042:2018-03 (a)
Diastase,26.4,DZ,"ASU L 40.00-1, mod. (a) 2"
Free acid,5.8,mmol/kg,"DIN 10756, mod. (a)³"
