Parameter,Result,Unit,Method
HMF,1.5,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,"17,9",%,"ASU L 40.00-2/2, mod (a) 1"
pH,6.4,pH,PM DE01.042:2022-04 (a)
Diastase,"24,9",DZ,"ASU L 40.00-1, mod. (a) 2"
Free acid,9.8,mmol/kg,"DIN 10756, mod. (a) 3"
