Parameter,Result,Unit,Method
HMF,4.1,mg/kg,DIN 10751-3:2018-09 (a)
Moisture content,14.9,%,"ASU L 40.00-2/2, mod (a) 1"
pH,5.0,pH,PM DE01.042:2018-03 (a)
Diastase,31.8,DZ,"ASU L 40.00-1, mod. (a) 2"
Free acid,49.2,mmol/kg,"DIN 10756, mod. (a) 3"
