Parameter,Result,Unit,Method
Fructose (F),36.9,g/100 g,DIN 10758 mod. (a) 1
Glucose (G),25.4,g/100 g,DIN 10758 mod. (a) 1
Sucrose,n.d.,g/100 g,DIN 10758 mod. (a) 1
Turanose,2.4,g/100 g,DIN 10758 mod. (a) 1
Maltose,n.d.,g/100 g,DIN 10758 mod. (a) 1
F/G ratio,1.45,,2
Invert sugar (F+G),"62,3",g/100 g,2
