Accomp. pollen (16% - 45%),20% 16%,undiff. Rhamnaceae (buckthorn family) Prosopis (mesquite)
Signif. Isolated pollen (3% - 15%),12% 7%,undiff. Combretaceae Trifolium (clover)
,3%,undiff. Myrtaceae (myrtle family)
