Parameter,Result,Unit,Method
Fructose (F),37.0,g/100 g,DIN 10758 mod. (a) 1
Glucose (G),27.8,g/100 g,DIN 10758 mod. (a) 1
Sucrose,n.d.,g/100 g,DIN 10758 mod. (a) 1
Turanose,2.6,g/100 g,DIN 10758 mod. (a) 1
Maltose,1.4,g/100 g,DIN 10758 mod. (a) 1
F/G ratio,1.33,,2
Invert sugar (F+G),64.8,g/100 g,2
