Main pollen (>45%),55%,undiff. Rhamnaceae (buckthorn family)
Accomp. pollen (16% - 45%),16%,Trifolium (clover)
Signif. Isolated pollen (3% - 15%),7%,undiff. Myrtaceae (myrtle family)
